label,prevalence_true,prevalence_pred,cohen_kappa,pair
v_057,0.017391304347826087,0.02608695652173913,-0.02131438721136769,HumanA vs HumanB
v_045,0.008695652173913044,0.043478260869565216,-0.014705882352941346,HumanA vs HumanB
v_056,0.02608695652173913,0.008695652173913044,-0.013215859030836885,HumanA vs HumanB
v_023,0.008695652173913044,0.02608695652173913,-0.013215859030836885,HumanA vs HumanB
v_030,0.008695652173913044,0.0,0.0,HumanA vs HumanB
v_025,0.0,0.02608695652173913,0.0,HumanA vs HumanB
v_028,0.05217391304347826,0.0,0.0,HumanA vs HumanB
v_033,0.034782608695652174,0.0,0.0,HumanA vs HumanB
v_041,0.017391304347826087,0.0,0.0,HumanA vs HumanB
v_008,0.008695652173913044,0.0,0.0,HumanA vs HumanB
v_051,0.0,0.008695652173913044,0.0,HumanA vs HumanB
v_005,0.0,0.008695652173913044,0.0,HumanA vs HumanB
v_055,0.02608695652173913,0.0,0.0,HumanA vs HumanB
v_049,0.0,0.008695652173913044,0.0,HumanA vs HumanB
v_021,0.008695652173913044,0.0,0.0,HumanA vs HumanB
v_059,0.034782608695652174,0.20869565217391303,0.08850726552179666,HumanA vs HumanB
v_043,0.02608695652173913,0.06956521739130435,0.14954806902218576,HumanA vs HumanB
v_062,0.0782608695652174,0.017391304347826087,0.15785191212367777,HumanA vs HumanB
v_061,0.034782608695652174,0.16521739130434782,0.2158042519053348,HumanA vs HumanB
v_018,0.05217391304347826,0.017391304347826087,0.2299107142857142,HumanA vs HumanB
v_042,0.008695652173913044,0.05217391304347826,0.27490542244640614,HumanA vs HumanB
v_002,0.043478260869565216,0.16521739130434782,0.284046692607004,HumanA vs HumanB
v_011,0.0782608695652174,0.017391304347826087,0.34499593165174935,HumanA vs HumanB
v_019,0.0782608695652174,0.13043478260869565,0.35341365461847385,HumanA vs HumanB
v_004,0.26956521739130435,0.08695652173913043,0.35409035409035405,HumanA vs HumanB
v_058,0.0782608695652174,0.05217391304347826,0.3599257884972171,HumanA vs HumanB
v_050,0.017391304347826087,0.06956521739130435,0.3828264758497316,HumanA vs HumanB
v_016,0.017391304347826087,0.02608695652173913,0.3872113676731793,HumanA vs HumanB
v_014,0.034782608695652174,0.008695652173913044,0.3915343915343916,HumanA vs HumanB
v_022,0.1826086956521739,0.1826086956521739,0.41742654508611965,HumanA vs HumanB
v_048,0.06956521739130435,0.0782608695652174,0.428492545554942,HumanA vs HumanB
v_046,0.05217391304347826,0.06086956521739131,0.4294826364280653,HumanA vs HumanB
v_031,0.043478260869565216,0.06956521739130435,0.4310954063604241,HumanA vs HumanB
v_040,0.30434782608695654,0.20869565217391303,0.43682664054848186,HumanA vs HumanB
v_037,0.08695652173913043,0.08695652173913043,0.45238095238095233,HumanA vs HumanB
v_060,0.40869565217391307,0.3130434782608696,0.45869177081642587,HumanA vs HumanB
v_047,0.12173913043478261,0.0782608695652174,0.4713748432929378,HumanA vs HumanB
v_001,0.02608695652173913,0.0782608695652174,0.4796380090497737,HumanA vs HumanB
v_026,0.02608695652173913,0.043478260869565216,0.4831460674157304,HumanA vs HumanB
v_027,0.008695652173913044,0.02608695652173913,0.49339207048458156,HumanA vs HumanB
v_015,0.16521739130434782,0.11304347826086956,0.4946641556811049,HumanA vs HumanB
v_020,0.10434782608695652,0.08695652173913043,0.49781659388646293,HumanA vs HumanB
v_039,0.05217391304347826,0.043478260869565216,0.5228215767634854,HumanA vs HumanB
v_044,0.12173913043478261,0.22608695652173913,0.524793388429752,HumanA vs HumanB
v_000,0.3739130434782609,0.2608695652173913,0.5451418744625968,HumanA vs HumanB
v_017,0.034782608695652174,0.02608695652173913,0.558258642765685,HumanA vs HumanB
v_003,0.0782608695652174,0.06086956521739131,0.5974329054842473,HumanA vs HumanB
v_035,0.16521739130434782,0.21739130434782608,0.6082725060827251,HumanA vs HumanB
v_034,0.2,0.23478260869565218,0.6428571428571429,HumanA vs HumanB
v_054,0.02608695652173913,0.02608695652173913,0.6577380952380952,HumanA vs HumanB
v_013,0.034782608695652174,0.017391304347826087,0.658753709198813,HumanA vs HumanB
v_024,0.017391304347826087,0.034782608695652174,0.658753709198813,HumanA vs HumanB
v_009,0.017391304347826087,0.008695652173913044,0.6627565982404693,HumanA vs HumanB
v_032,0.2782608695652174,0.22608695652173913,0.6783859368757491,HumanA vs HumanB
v_007,0.20869565217391303,0.16521739130434782,0.6863377138606497,HumanA vs HumanB
v_038,0.06086956521739131,0.10434782608695652,0.7149231531978186,HumanA vs HumanB
v_036,0.043478260869565216,0.02608695652173913,0.7415730337078652,HumanA vs HumanB
v_006,0.02608695652173913,0.017391304347826087,0.7957371225577264,HumanA vs HumanB
v_029,0.14782608695652175,0.11304347826086956,0.8470744680851063,HumanA vs HumanB
v_010,0.008695652173913044,0.008695652173913044,1.0,HumanA vs HumanB
v_012,0.0,0.0,,HumanA vs HumanB
v_052,0.0,0.0,,HumanA vs HumanB
v_053,0.0,0.0,,HumanA vs HumanB
v_018,0.034782608695652174,0.017391304347826087,-0.023738872403560762,HumanB vs LLM
v_062,0.02608695652173913,0.017391304347826087,-0.02131438721136769,HumanB vs LLM
v_011,0.008695652173913044,0.017391304347826087,-0.011730205278592365,HumanB vs LLM
v_056,0.008695652173913044,0.008695652173913044,-0.00877192982456143,HumanB vs LLM
v_009,0.008695652173913044,0.008695652173913044,-0.00877192982456143,HumanB vs LLM
v_046,0.0,0.06086956521739131,0.0,HumanB vs LLM
v_051,0.0,0.008695652173913044,0.0,HumanB vs LLM
v_054,0.0,0.02608695652173913,0.0,HumanB vs LLM
v_042,0.0,0.05217391304347826,0.0,HumanB vs LLM
v_033,0.02608695652173913,0.0,0.0,HumanB vs LLM
v_028,0.017391304347826087,0.0,0.0,HumanB vs LLM
v_027,0.0,0.02608695652173913,0.0,HumanB vs LLM
v_049,0.0,0.008695652173913044,0.0,HumanB vs LLM
v_023,0.0,0.02608695652173913,0.0,HumanB vs LLM
v_016,0.0,0.02608695652173913,0.0,HumanB vs LLM
v_025,0.0,0.02608695652173913,0.0,HumanB vs LLM
v_014,0.0,0.008695652173913044,0.0,HumanB vs LLM
v_005,0.0,0.008695652173913044,0.0,HumanB vs LLM
v_012,0.008695652173913044,0.0,0.0,HumanB vs LLM
v_001,0.0,0.0782608695652174,0.0,HumanB vs LLM
v_010,0.0,0.008695652173913044,0.0,HumanB vs LLM
v_059,0.02608695652173913,0.20869565217391303,0.029044241810199267,HumanB vs LLM
v_002,0.008695652173913044,0.16521739130434782,0.0848806366047744,HumanB vs LLM
v_019,0.008695652173913044,0.13043478260869565,0.11049723756906082,HumanB vs LLM
v_061,0.02608695652173913,0.16521739130434782,0.14321192052980125,HumanB vs LLM
v_031,0.017391304347826087,0.06956521739130435,0.17710196779964216,HumanB vs LLM
v_048,0.008695652173913044,0.0782608695652174,0.18727915194346278,HumanB vs LLM
v_047,0.008695652173913044,0.0782608695652174,0.18727915194346278,HumanB vs LLM
v_043,0.06086956521739131,0.06956521739130435,0.21574705517668946,HumanB vs LLM
v_039,0.017391304347826087,0.043478260869565216,0.2675159235668789,HumanB vs LLM
v_004,0.02608695652173913,0.08695652173913043,0.2787456445993032,HumanB vs LLM
v_003,0.043478260869565216,0.06086956521739131,0.2977099236641222,HumanB vs LLM
v_035,0.14782608695652175,0.21739130434782608,0.3065326633165829,HumanB vs LLM
v_036,0.02608695652173913,0.02608695652173913,0.31547619047619047,HumanB vs LLM
v_026,0.008695652173913044,0.043478260869565216,0.32352941176470584,HumanB vs LLM
v_058,0.043478260869565216,0.05217391304347826,0.3319502074688796,HumanB vs LLM
v_040,0.25217391304347825,0.20869565217391303,0.33978311715926,HumanB vs LLM
v_022,0.06956521739130435,0.1826086956521739,0.34811603867955987,HumanB vs LLM
v_060,0.17391304347826086,0.3130434782608696,0.356,HumanB vs LLM
v_024,0.05217391304347826,0.034782608695652174,0.37386569872958264,HumanB vs LLM
v_050,0.017391304347826087,0.06956521739130435,0.3828264758497316,HumanB vs LLM
v_034,0.06956521739130435,0.23478260869565218,0.39187308655719455,HumanB vs LLM
v_037,0.034782608695652174,0.08695652173913043,0.39869281045751637,HumanB vs LLM
v_015,0.034782608695652174,0.11304347826086956,0.440842787682334,HumanB vs LLM
v_057,0.008695652173913044,0.02608695652173913,0.49339207048458156,HumanB vs LLM
v_007,0.11304347826086956,0.16521739130434782,0.4946641556811049,HumanB vs LLM
v_032,0.09565217391304348,0.22608695652173913,0.5316318218843334,HumanB vs LLM
v_000,0.1565217391304348,0.2608695652173913,0.5337837837837838,HumanB vs LLM
v_045,0.017391304347826087,0.043478260869565216,0.5605095541401273,HumanB vs LLM
v_038,0.043478260869565216,0.10434782608695652,0.5613079019073569,HumanB vs LLM
v_020,0.05217391304347826,0.08695652173913043,0.5988372093023255,HumanB vs LLM
v_029,0.06956521739130435,0.11304347826086956,0.6352514725872225,HumanB vs LLM
v_044,0.12173913043478261,0.22608695652173913,0.643595041322314,HumanB vs LLM
v_013,0.008695652173913044,0.017391304347826087,0.6627565982404693,HumanB vs LLM
v_006,0.008695652173913044,0.017391304347826087,0.6627565982404693,HumanB vs LLM
v_017,0.017391304347826087,0.02608695652173913,0.7957371225577264,HumanB vs LLM
v_008,0.0,0.0,,HumanB vs LLM
v_021,0.0,0.0,,HumanB vs LLM
v_030,0.0,0.0,,HumanB vs LLM
v_041,0.0,0.0,,HumanB vs LLM
v_052,0.0,0.0,,HumanB vs LLM
v_053,0.0,0.0,,HumanB vs LLM
v_055,0.0,0.0,,HumanB vs LLM
v_059,0.034782608695652174,0.02608695652173913,-0.030729833546734975,HumanA vs LLM
v_033,0.034782608695652174,0.02608695652173913,-0.030729833546734975,HumanA vs LLM
v_061,0.034782608695652174,0.02608695652173913,-0.030729833546734975,HumanA vs LLM
v_028,0.05217391304347826,0.017391304347826087,-0.026785714285714413,HumanA vs LLM
v_031,0.043478260869565216,0.017391304347826087,-0.025477707006369643,HumanA vs LLM
v_011,0.0782608695652174,0.008695652173913044,-0.01590106007067149,HumanA vs LLM
v_056,0.02608695652173913,0.008695652173913044,-0.013215859030836885,HumanA vs LLM
v_045,0.008695652173913044,0.017391304347826087,-0.011730205278592365,HumanA vs LLM
v_057,0.017391304347826087,0.008695652173913044,-0.011730205278592365,HumanA vs LLM
v_030,0.008695652173913044,0.0,0.0,HumanA vs LLM
v_027,0.008695652173913044,0.0,0.0,HumanA vs LLM
v_046,0.05217391304347826,0.0,0.0,HumanA vs LLM
v_023,0.008695652173913044,0.0,0.0,HumanA vs LLM
v_021,0.008695652173913044,0.0,0.0,HumanA vs LLM
v_016,0.017391304347826087,0.0,0.0,HumanA vs LLM
v_014,0.034782608695652174,0.0,0.0,HumanA vs LLM
v_054,0.02608695652173913,0.0,0.0,HumanA vs LLM
v_012,0.0,0.008695652173913044,0.0,HumanA vs LLM
v_010,0.008695652173913044,0.0,0.0,HumanA vs LLM
v_055,0.02608695652173913,0.0,0.0,HumanA vs LLM
v_008,0.008695652173913044,0.0,0.0,HumanA vs LLM
v_001,0.02608695652173913,0.0,0.0,HumanA vs LLM
v_041,0.017391304347826087,0.0,0.0,HumanA vs LLM
v_042,0.008695652173913044,0.0,0.0,HumanA vs LLM
v_047,0.12173913043478261,0.008695652173913044,0.11903358868591629,HumanA vs LLM
v_004,0.26956521739130435,0.02608695652173913,0.13533834586466165,HumanA vs LLM
v_018,0.05217391304347826,0.034782608695652174,0.16515426497277685,HumanA vs LLM
v_019,0.0782608695652174,0.008695652173913044,0.18727915194346278,HumanA vs LLM
v_048,0.06956521739130435,0.008695652173913044,0.210009813542689,HumanA vs LLM
v_015,0.16521739130434782,0.034782608695652174,0.2158042519053348,HumanA vs LLM
v_036,0.043478260869565216,0.02608695652173913,0.2247191011235956,HumanA vs LLM
v_003,0.0782608695652174,0.043478260869565216,0.24342105263157887,HumanA vs LLM
v_022,0.1826086956521739,0.06956521739130435,0.27142380793597876,HumanA vs LLM
v_035,0.16521739130434782,0.14782608695652175,0.27590154550658275,HumanA vs LLM
v_000,0.3739130434782609,0.1565217391304348,0.3058350100603622,HumanA vs LLM
v_062,0.0782608695652174,0.02608695652173913,0.3061840120663649,HumanA vs LLM
v_002,0.043478260869565216,0.008695652173913044,0.32352941176470584,HumanA vs LLM
v_043,0.02608695652173913,0.06086956521739131,0.3772563176895306,HumanA vs LLM
v_060,0.40869565217391307,0.17391304347826086,0.3879828326180258,HumanA vs LLM
v_013,0.034782608695652174,0.008695652173913044,0.3915343915343916,HumanA vs LLM
v_058,0.0782608695652174,0.043478260869565216,0.39473684210526305,HumanA vs LLM
v_037,0.08695652173913043,0.034782608695652174,0.39869281045751637,HumanA vs LLM
v_032,0.2782608695652174,0.09565217391304348,0.43055883046451304,HumanA vs LLM
v_034,0.2,0.06956521739130435,0.4604316546762589,HumanA vs LLM
v_038,0.06086956521739131,0.043478260869565216,0.4732824427480916,HumanA vs LLM
v_024,0.017391304347826087,0.05217391304347826,0.4866071428571428,HumanA vs LLM
v_039,0.05217391304347826,0.017391304347826087,0.4866071428571428,HumanA vs LLM
v_050,0.017391304347826087,0.017391304347826087,0.4911504424778761,HumanA vs LLM
v_026,0.02608695652173913,0.008695652173913044,0.49339207048458156,HumanA vs LLM
v_006,0.02608695652173913,0.008695652173913044,0.49339207048458156,HumanA vs LLM
v_044,0.12173913043478261,0.12173913043478261,0.5120226308345119,HumanA vs LLM
v_020,0.10434782608695652,0.05217391304347826,0.5223260643821391,HumanA vs LLM
v_007,0.20869565217391303,0.11304347826086956,0.5249242632883504,HumanA vs LLM
v_029,0.14782608695652175,0.06956521739130435,0.6023818670764503,HumanA vs LLM
v_040,0.30434782608695654,0.25217391304347825,0.6116322701688556,HumanA vs LLM
